vote_event_id	is_eu
55101	0
55106	0
55142	0
55144	0
55146	0
55155	0
55156	0
55157	0
55209	0
55249	0
55266	0
55344	0
55349	0
55359	0
55370	0
55371	0
55374	0
55377	0
55379	0
55383	0
55390	0
55392	0
55394	0
55395	0
55426	0
55430	0
55436	0
55505	0
55510	0
55511	0
55512	0
55514	0
55519	0
55547	0
55557	0
55560	0
55564	0
55567	0
55570	0
55597	0
55650	0
55651	0
55661	0
55672	0
55675	0
55696	0
55716	0
55731	0
55734	0
55754	0
55761	0
55762	0
55764	0
55766	0
55768	0
55773	0
55785	0
55814	0
55819	0
55854	0
55881	0
55907	0
55908	0
55912	0
55913	0
55916	0
55917	0
56001	0
56004	0
56008	0
56016	0
56200	0
56379	0
56472	0
56473	0
56514	0
56533	0
56535	0
56539	0
56581	0
56582	0
56612	0
56619	0
56640	0
56643	0
56691	0
56793	0
56794	0
56877	0
56922	0
56986	0
57017	0
57039	0
57099	0
57105	0
57127	0
57130	0
57131	0
57133	0
57161	0
57162	0
57165	0
57328	0
57329	0
57352	0
57355	0
57358	0
57368	0
57413	0
57448	0
57455	0
57459	0
57460	0
57466	0
57497	0
57500	0
57502	0
57504	0
57516	0
57572	0
57607	0
57625	0
57641	0
57674	0
57690	0
57691	0
57695	0
57703	0
57708	0
57709	0
57754	0
57781	0
57819	0
57834	0
57837	0
57857	0
57859	0
57864	0
57866	0
57869	0
57873	0
57879	0
57887	0
57888	0
57920	0
57947	0
57949	0
57951	0
58003	0
58007	0
58075	0
58082	0
58084	0
58090	0
58098	0
58121	0
58125	0
58129	0
58144	0
58173	0
58180	0
58182	0
58204	0
58205	0
58219	0
58221	0
58239	0
58241	0
58244	0
58288	0
58392	0
58531	0
58618	0
58634	0
58635	0
58640	0
58646	0
58647	0
58648	0
58650	0
58664	0
58665	0
58695	0
58697	0
58702	0
58748	0
58755	0
58758	0
58818	0
58833	0
58848	0
58858	0
58860	0
58868	0
58869	0
58922	0
58946	0
59042	0
59043	0
59046	0
59048	0
59065	0
59189	0
59191	0
59207	0
59235	0
59239	0
59260	0
59266	0
59277	0
59307	0
59310	0
59376	0
59421	0
59422	0
59475	0
59621	0
59623	0
59691	0
59710	0
59740	0
59752	0
59761	0
59766	0
59768	0
59784	0
59787	0
59801	0
59805	0
59807	0
59859	0
59885	0
59928	0
59955	0
60020	0
60038	0
60089	0
60096	0
60102	0
60106	0
60108	0
60111	0
60113	0
60115	0
60116	0
60151	0
60253	0
60267	0
60310	0
60312	0
60321	0
60800	0
29994	1
30160	1
30214	1
30243	1
30313	1
30695	1
30713	1
30723	1
30880	1
30922	1
30936	1
30944	1
30948	1
30957	1
30965	1
30967	1
31185	1
31305	1
31353	1
31418	1
31435	1
31436	1
31731	1
31804	1
31839	1
31845	1
31885	1
31894	1
31969	1
32019	1
32040	1
32050	1
32092	1
32249	1
32318	1
32327	1
32333	1
32448	1
32553	1
32555	1
32566	1
32571	1
32576	1
32577	1
32627	1
32628	1
32683	1
32707	1
32727	1
32856	1
32893	1
32911	1
32968	1
33000	1
33060	1
33067	1
33075	1
33088	1
33124	1
33203	1
33207	1
33330	1
33339	1
33341	1
33406	1
33427	1
33509	1
33526	1
33574	1
33621	1
33636	1
33637	1
33654	1
33657	1
33664	1
33667	1
33733	1
34259	1
34269	1
34282	1
34290	1
34296	1
34315	1
34316	1
34321	1
34339	1
34418	1
34468	1
34473	1
34474	1
34476	1
34516	1
34518	1
34524	1
34533	1
34535	1
34632	1
34634	1
34652	1
34664	1
34788	1
34807	1
34816	1
34920	1
34978	1
35017	1
35019	1
